Channel 1,Channel 2,Channel 3
0,-30,3
0,-30,3
0,-30,3
0,-30,3
0,-29,3
0,-30,3
0,-30,3
0,-31,3
0,-31,3
0,-30,3
0,-30,3
0,-30,3
0,-29,3
0,-30,3
0,-30,3
0,-29,3
0,-29,3
0,-29,4
0,-30,4
0,-28,4
0,-30,4
0,-29,4
0,-29,4
0,-29,4
0,-29,4
0,-29,4
0,-29,4
0,-27,4
0,-27,4
0,-28,4
0,-29,4
0,-28,4
0,-28,4
0,-29,4
0,-28,4
0,-27,4
0,-28,4
0,-27,4
0,-28,4
0,-28,4
0,-26,4
0,-28,4
0,-28,5
0,-27,5
0,-27,5
0,-28,5
0,-26,5
0,-27,5
0,-26,5
0,-27,5
0,-26,5
0,-26,5
0,-27,5
0,-27,5
0,-26,5
0,-26,5
0,-26,5
0,-26,5
0,-26,5
0,-27,5
0,-26,5
0,-27,5
0,-26,5
0,-26,5
0,-26,5
0,-26,5
0,-23,5
0,-26,5
0,-26,5
0,-26,5
0,-25,5
0,-26,6
0,-26,6
0,-24,6
0,-25,6
0,-25,6
0,-25,6
0,-26,6
0,-25,6
0,-24,6
0,-25,6
0,-24,6
0,-24,6
0,-25,6
0,-24,6
0,-24,6
0,-24,6
0,-24,6
0,-24,6
0,-25,6
0,-24,6
0,-24,6
0,-24,6
0,-24,6
0,-24,6
0,-24,6
0,-23,6
0,-24,6
0,-24,6
0,-24,6
0,-23,6
0,-23,7
0,-23,7
0,-22,7
0,-23,7
0,-23,7
0,-22,7
0,-23,7
0,-22,7
0,-22,7
0,-22,7
0,-23,7
0,-23,7
0,-22,7
0,-22,7
0,-23,7
0,-21,7
0,-22,7
0,-22,7
0,-21,7
0,-21,7
0,-21,7
0,-20,7
0,-21,7
0,-20,7
0,-20,7
0,-20,7
0,-20,7
0,-19,7
0,-19,7
0,-20,7
0,-21,7
0,-21,7
0,-21,7
0,-20,7
0,-21,8
0,-20,8
0,-20,8
0,-21,8
0,-21,8
0,-20,8
0,-21,8
0,-21,8
0,-20,8
0,-21,8
0,-21,8
0,-20,8
0,-20,8
0,-19,8
0,-20,8
0,-19,8
0,-19,8
0,-19,8
0,-18,8
0,-20,8
0,-19,8
0,-19,8
0,-17,8
0,-17,8
0,-16,8
0,-17,8
0,-17,8
0,-17,8
0,-16,8
0,-17,8
0,-13,8
0,-9,8
0,-7,8
0,-2,8
0,0,8
0,2,7
0,4,7
0,0,8
0,-4,8
0,-4,8
0,-4,8
0,-7,8
0,-7,8
0,-5,8
0,-3,8
0,-3,8
0,0,8
0,3,7
0,3,7
0,1,7
0,1,7
0,1,7
0,-1,8
0,0,8
0,0,8
0,-1,8
0,-1,8
0,2,7
0,1,8
0,-1,8
0,-3,8
0,-5,8
0,-5,8
0,-4,8
0,-6,8
0,-7,8
0,-3,8
0,2,7
0,3,7
0,7,7
0,7,7
0,5,7
0,1,8
0,1,8
0,1,7
0,0,8
0,1,7
0,3,7
0,4,7
0,6,7
0,7,7
0,7,7
0,6,7
0,7,7
0,5,7
0,6,7
0,5,7
0,6,7
0,8,7
0,7,7
0,5,7
0,4,7
0,4,7
0,4,7
0,7,7
0,10,7
0,12,7
0,11,7
0,5,7
0,5,7
0,4,7
0,3,7
0,5,7
0,6,7
0,7,7
0,9,7
0,8,7
0,7,7
0,5,7
-1000,7,-36
-1000,-27,-36
-1000,-70,-36
-1000,-109,-36
-1000,-142,-35
-1000,-175,-35
-1000,-206,-35
-1000,-236,-35
-1000,-266,-35
-1000,-294,-35
-1000,-321,-35
-1000,-346,-35
-1000,-371,-34
-1000,-394,-34
-1000,-418,-34
-1000,-442,-34
-1000,-464,-34
-1000,-484,-34
-1000,-505,-34
-1000,-523,-34
-1000,-542,-34
-1000,-560,-34
-1000,-577,-33
-1000,-594,-33
-1000,-611,-33
-1000,-626,-33
-1000,-641,-33
-1000,-656,-33
-1000,-668,-33
-1000,-681,-33
-1000,-695,-33
-1000,-707,-33
-1000,-720,-32
-1000,-731,-32
-1000,-741,-32
-1000,-752,-32
-1000,-763,-32
-1000,-772,-32
-1000,-782,-32
-1000,-792,-32
-1000,-801,-32
-1000,-809,-32
-1000,-817,-32
-1000,-825,-32
-1000,-833,-32
-1000,-838,-32
-1000,-847,-31
-1000,-852,-31
-1000,-858,-31
-1000,-866,-31
-1000,-872,-31
-1000,-878,-31
-1000,-884,-31
-1000,-889,-31
-1000,-894,-31
-1000,-899,-31
-1000,-903,-31
-1000,-907,-31
-1000,-913,-31
-1000,-915,-31
-1000,-918,-31
-1000,-922,-31
-1000,-925,-31
-1000,-928,-31
-1000,-932,-31
-1000,-933,-31
-1000,-938,-31
-1000,-941,-31
-1000,-943,-31
-1000,-947,-30
-1000,-950,-30
-1000,-954,-30
-1000,-955,-30
-1000,-958,-30
-1000,-961,-30
-1000,-965,-30
-1000,-966,-30
-1000,-969,-30
-1000,-972,-30
-1000,-975,-30
-1000,-976,-30
-1000,-977,-30
-1000,-977,-30
-1000,-978,-30
-1000,-979,-30
-1000,-981,-30
-1000,-981,-30
-1000,-981,-30
-1000,-983,-30
-1000,-985,-30
-1000,-985,-30
-1000,-986,-30
-1000,-986,-30
-1000,-987,-30
-1000,-989,-30
-1000,-989,-30
-1000,-989,-30
-1000,-990,-30
-1000,-991,-30
-1000,-992,-30
-1000,-994,-30
-1000,-993,-30
-1000,-993,-30
-1000,-995,-30
-1000,-997,-29
-1000,-995,-29
-1000,-996,-29
-1000,-997,-29
-1000,-998,-29
-1000,-998,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1004,-29
-1000,-1003,-29
-1000,-1003,-29
-1000,-1003,-29
-1000,-1005,-29
-1000,-1005,-29
-1000,-1005,-29
-1000,-1005,-29
-1000,-1006,-29
-1000,-1006,-29
-1000,-1007,-29
-1000,-1005,-29
-1000,-1005,-29
-1000,-1006,-29
-1000,-1005,-29
-1000,-1004,-29
