T = 72 sec			-> Ukupno vrijeme uzimanja uzoraka
fs = 10 Hz			-> Frekvencija uzimanja uzoraka
omega = 20 deg/s	-> Kutna brzina
n = [1, -1, 0]		-> Nenormalizirani vektor osi rotacije

Legenda:
	a_i	-> Mjerenje akcelerometra u inercijalnom sustavu (x, y, i z komponenta)
	m_i	-> Mjerenje magnetometra u inercijalnom sustavu (x, y, i z komponenta)
	w_i	-> Mjerenje ziroskopa u inercijalnom sustavu (x, y, i z komponenta)
	a_b	-> Mjerenje akcelerometra u sustavu tijela (x, y, i z komponenta)
	m_b	-> Mjerenje magnetometra u sustavu tijela (x, y, i z komponenta)
	w_b	-> Mjerenje ziroskopa u sustavu tijela (x, y, i z komponenta)
	qib	-> Kvaternion rotacije iz inercijalnog u sustav tijela (cetiri komponente)

Format podataka:
------------------------------------------------------------------------------------------------------------------------------------------------------
a_i_x, a_i_y, a_i_z, m_i_x, m_i_y, m_i_z, w_i_x, w_i_y, w_i_z, a_b_x, a_b_y, a_b_z, m_b_x, m_b_y, m_b_z, w_b_x, w_b_y, w_b_z, qib1, qib2, qib3, qib4
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,4.9899,4.9899,6.8146,40.2705,19.7705,17.5052,0.2468,-0.2468,-0.0000,0.9205,0.2763,-0.2763,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.1550,5.1550,6.5642,40.6842,20.1842,16.0128,0.2468,-0.2468,-0.0000,0.9135,0.2876,-0.2876,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.3138,5.3138,6.3057,41.0608,20.5608,14.5010,0.2468,-0.2468,0.0000,0.9063,0.2988,-0.2988,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.4662,5.4662,6.0396,41.3999,20.8999,12.9715,0.2468,-0.2468,0.0000,0.8988,0.3100,-0.3100,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.6119,5.6119,5.7662,41.7011,21.2011,11.4262,0.2468,-0.2468,0.0000,0.8910,0.3210,-0.3210,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.7508,5.7508,5.4857,41.9639,21.4639,9.8669,0.2468,-0.2468,0.0000,0.8829,0.3320,-0.3320,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.8827,5.8827,5.1985,42.1880,21.6880,8.2957,0.2468,-0.2468,0.0000,0.8746,0.3428,-0.3428,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.0074,6.0074,4.9050,42.3733,21.8733,6.7143,0.2468,-0.2468,0.0000,0.8660,0.3536,-0.3536,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.1248,6.1248,4.6055,42.5194,22.0194,5.1248,0.2468,-0.2468,-0.0000,0.8572,0.3642,-0.3642,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.2347,6.2347,4.3004,42.6262,22.1262,3.5290,0.2468,-0.2468,0.0000,0.8480,0.3747,-0.3747,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.3370,6.3370,3.9901,42.6936,22.1936,1.9289,0.2468,-0.2468,-0.0000,0.8387,0.3851,-0.3851,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.4316,6.4316,3.6749,42.7214,22.2214,0.3264,0.2468,-0.2468,0.0000,0.8290,0.3954,-0.3954,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.5184,6.5184,3.3552,42.7097,22.2097,-1.2764,0.2468,-0.2468,0.0000,0.8192,0.4056,-0.4056,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.5972,6.5972,3.0315,42.6584,22.1584,-2.8777,0.2468,-0.2468,0.0000,0.8090,0.4156,-0.4156,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.6680,6.6680,2.7040,42.5677,22.0677,-4.4755,0.2468,-0.2468,-0.0000,0.7986,0.4255,-0.4255,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.7307,6.7307,2.3733,42.4376,21.9376,-6.0678,0.2468,-0.2468,-0.0000,0.7880,0.4353,-0.4353,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.7851,6.7851,2.0396,42.2682,21.7682,-7.6527,0.2468,-0.2468,-0.0000,0.7771,0.4450,-0.4450,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8313,6.8313,1.7035,42.0598,21.5598,-9.2283,0.2468,-0.2468,-0.0000,0.7660,0.4545,-0.4545,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8692,6.8692,1.3653,41.8127,21.3127,-10.7927,0.2468,-0.2468,-0.0000,0.7547,0.4639,-0.4639,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8987,6.8987,1.0254,41.5272,21.0272,-12.3439,0.2468,-0.2468,0.0000,0.7431,0.4731,-0.4731,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.9198,6.9198,0.6843,41.2035,20.7035,-13.8801,0.2468,-0.2468,0.0000,0.7314,0.4822,-0.4822,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.9325,6.9325,0.3424,40.8421,20.3421,-15.3993,0.2468,-0.2468,-0.0000,0.7193,0.4912,-0.4912,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.9367,6.9367,0.0000,40.4435,19.9435,-16.8999,0.2468,-0.2468,-0.0000,0.7071,0.5000,-0.5000,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.9325,6.9325,-0.3424,40.0080,19.5080,-18.3798,0.2468,-0.2468,-0.0000,0.6947,0.5087,-0.5087,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.9198,6.9198,-0.6843,39.5363,19.0363,-19.8373,0.2468,-0.2468,0.0000,0.6820,0.5171,-0.5171,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8987,6.8987,-1.0254,39.0289,18.5289,-21.2706,0.2468,-0.2468,-0.0000,0.6691,0.5255,-0.5255,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8692,6.8692,-1.3653,38.4865,17.9865,-22.6781,0.2468,-0.2468,-0.0000,0.6561,0.5337,-0.5337,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.8313,6.8313,-1.7035,37.9097,17.4097,-24.0579,0.2468,-0.2468,-0.0000,0.6428,0.5417,-0.5417,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.7851,6.7851,-2.0396,37.2991,16.7991,-25.4084,0.2468,-0.2468,-0.0000,0.6293,0.5495,-0.5495,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.7307,6.7307,-2.3733,36.6556,16.1556,-26.7279,0.2468,-0.2468,-0.0000,0.6157,0.5572,-0.5572,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.6680,6.6680,-2.7040,35.9799,15.4799,-28.0149,0.2468,-0.2468,-0.0000,0.6018,0.5647,-0.5647,0.0000
