wx,wy,wz
25,33,-37
16,19,-25
2,3,13
-19,-25,33
-23,-49,23
-35,-1,44
-8,10,28
12,16,5
19,48,25
9,46,33
-10,0,22
-15,-39,39
-11,-33,61
-2,-4,80
-15,3,39
-1,4,12
10,39,31
13,56,49
3,37,69
-9,-12,89
-17,-43,109
-18,-42,127
-11,-4,142
-1,42,157
0,60,173
-6,46,191
-15,4,210
-22,-36,227
-21,-43,243
-17,-11,258
-13,33,255
-19,53,230
-8,56,246
1,31,257
0,-6,265
-9,-26,280
-22,-20,292
-28,10,304
-22,53,315
-17,62,329
-9,41,343
-26,-2,320
-26,-30,322
-10,-15,338
-4,23,348
-15,48,342
-60,38,267
-67,11,216
-46,-6,148
-28,-2,32
38,2,-27
85,7,-78
94,0,-103
53,-8,-90
-13,-16,-80
-69,-18,-73
-75,-12,-63
-16,3,-38
37,9,-40
60,4,-45
46,-3,-55
6,-9,-51
-36,-8,-40
-26,-1,6
-15,-2,20
-7,7,25
0,-4,2
5,-3,-15
24,2,-4
29,18,7
7,15,17
-18,2,32
-39,-13,21
-26,-14,27
4,-2,31
31,13,30
32,15,25
13,12,23
-21,-3,22
-39,-14,21
-25,-7,26
-2,-4,26
23,6,29
31,14,29
18,13,28
-12,3,20
-33,-8,14
-28,-13,16
0,-3,19
27,8,19
34,16,19
7,9,-2
-8,-4,-2
-19,-4,0
-22,-2,0
-12,-1,0
9,6,3
20,5,4
18,1,3
1,-2,2
-17,-7,1
-24,-6,1
-14,-3,1
3,2,2
22,8,2
21,3,4
6,-3,3
-10,-2,1
-14,-2,11
-15,-8,11
0,1,13
9,2,12
17,8,13
10,5,11
-4,-2,12
-15,2,16
-20,-10,3
-12,1,7
1,0,5
10,-4,-11
20,1,-8
17,-4,-16
4,0,-18
-11,2,-19
-10,7,-16
-2,5,-15
3,-2,-13
16,14,-2
6,-10,-27
1,-19,-19
-6,-15,-18
-7,0,-21
-5,11,-21
8,10,-9
10,-3,-18
8,-1,-6
-6,-11,-9
-10,-3,-11
-15,1,-10
-3,9,-11
6,8,-9
14,1,-8
13,-4,-7
4,-5,-8
-6,-3,-10
-12,2,-11
0,19,-11
14,24,-10
19,13,-8
17,1,-8
8,-3,-8
-5,-2,-9
-11,1,-10
-8,5,-10
1,7,-9
11,3,-8
14,-2,-8
7,-5,-7
-5,-5,-9
-12,-1,-9
-10,3,-10
-1,4,-9
8,3,-8
13,0,-7
10,-3,-7
-1,-4,-8
-10,-1,-7
-11,1,-9
-3,5,-7
7,3,-7
13,0,-6
11,-2,-5
0,-5,-6
-8,-3,-7
-14,0,-8
-8,2,-7
2,4,-6
11,1,-6
13,-3,-4
3,-5,-5
-8,-5,-6
-13,0,-6
-9,5,-6
1,5,-6
12,2,-5
13,-3,-4
5,-7,-4
-5,-6,-6
-12,-2,-6
-10,2,-6
-1,8,-5
9,6,-4
14,-1,-5
7,-7,-5
-2,-8,-5
-12,-3,-7
-12,2,-8
-4,8,-6
7,7,-7
12,1,-4
9,-5,-5
0,-9,-6
-9,-6,-6
-13,0,-7
-6,6,-7
4,7,-6
13,4,-5
12,-2,-4
3,-7,-5
-7,-7,-6
-13,-1,-7
-9,4,-7
2,8,-6
11,4,-7
13,-1,-5
6,-8,-6
-4,-9,-7
-11,-4,-8
-10,4,-8
