magx,magy,magz
0.6838,-0.2202,-0.6956
0.6986,-0.2309,-0.6772
0.7038,-0.2465,-0.6662
0.7038,-0.2465,-0.6662
0.709,-0.2729,-0.6502
0.7372,-0.2865,-0.6119
0.7573,-0.2797,-0.5902
0.7573,-0.2797,-0.5902
0.7809,-0.2689,-0.5638
0.8166,-0.2118,-0.5369
0.826,-0.1678,-0.5381
0.8449,-0.1769,-0.5048
0.8449,-0.1769,-0.5048
0.85,-0.1498,-0.5051
0.8543,-0.1803,-0.4876
0.8696,-0.2658,-0.4162
0.8659,-0.3463,-0.3609
0.8659,-0.3463,-0.3609
0.8617,-0.4047,-0.3062
0.873,-0.3941,-0.2874
0.8599,-0.4652,-0.21
0.719,-0.685,-0.1177
0.719,-0.685,-0.1177
0.4021,-0.9007,-0.1645
0.0935,-0.9551,-0.2811
-0.0827,-0.9425,-0.3237
-0.0648,-0.9525,-0.2976
-0.0648,-0.9525,-0.2976
0.0712,-0.9475,-0.3117
0.1473,-0.9458,-0.2896
0.2069,-0.9278,-0.3105
0.237,-0.897,-0.3731
0.237,-0.897,-0.3731
0.2471,-0.8808,-0.4039
0.2843,-0.8728,-0.3967
0.3382,-0.8472,-0.4099
0.4012,-0.8131,-0.4218
0.4012,-0.8131,-0.4218
0.4626,-0.7549,-0.4649
0.5325,-0.711,-0.4592
0.5969,-0.6732,-0.4364
0.6902,-0.6042,-0.3982
0.6902,-0.6042,-0.3982
0.7865,-0.4922,-0.373
0.8411,-0.4108,-0.3519
0.8944,-0.3291,-0.3028
0.9186,-0.2557,-0.3013
0.9186,-0.2557,-0.3013
0.8731,-0.2086,-0.4407
0.4097,-0.4111,-0.8143
-0.1848,-0.5756,-0.7966
-0.3541,-0.6394,-0.6824
-0.3541,-0.6394,-0.6824
-0.3894,-0.7155,-0.58
-0.3227,-0.7689,-0.552
-0.2592,-0.8419,-0.4733
-0.1726,-0.8658,-0.4698
-0.1726,-0.8658,-0.4698
-0.0417,-0.9055,-0.4223
0.054,-0.8934,-0.446
0.1415,-0.8622,-0.4863
0.1955,-0.8145,-0.5463
0.1955,-0.8145,-0.5463
0.2483,-0.751,-0.6118
0.279,-0.724,-0.6309
0.2978,-0.7331,-0.6115
0.2866,-0.7506,-0.5954
0.2866,-0.7506,-0.5954
0.27,-0.7598,-0.5915
0.2563,-0.76,-0.5973
0.2662,-0.7556,-0.5985
0.253,-0.7615,-0.5968
0.253,-0.7615,-0.5968
0.2546,-0.7739,-0.5798
0.2639,-0.8024,-0.5353
0.2494,-0.8451,-0.4729
0.2372,-0.9098,-0.3406
0.2372,-0.9098,-0.3406
